report_id,reported_at,resolved_at,issue_type,severity,lat,lon,street_name,channel,estimated_impact_cost,district_hint
MR200000,2024-03-02T08:06:17Z,2024-03-20T13:34:03Z,unsafe crossing,3,37.698293,,Pine Ave,phone,1610.21,D01
MR200001,02/12/2025 02:45:36,,sidewalk obstruction,4,37.76310964556415,-122.454356930552,Transit Way,phone,365.11,D06
MR200002,2024-09-08T07:22:04Z,2024-10-17T07:36:30Z,bus stop damage,high,37.837967718801494,-122.433710023198,Transit Way,app,1591.37,D11
MR200003,2024-08-21T00:42:27Z,2024-08-24T17:00:58Z,bus stop damage,2,37.810056976590204,-122.368619115431,Grant St,web,566.36,D01
MR200004,2025-07-25T04:16:12Z,,missing sign,1,37.71357136115868,-122.364555895531,Market St, call center ,339.59,D04
MR200005,2025-12-01T04:21:47Z,2025-12-04T02:15:39Z,sidewalk obstruction,,37.76112863697471,-122.403113334386,Cedar Rd,email,156 USD,D07
MR200006,2025-04-04T07:01:59Z,,blocked lane,2,37.718954818747406,-122.366204340905,Harbor Ave,web,1724.6,D04
MR200007,30-12-2024 12:38,"Jan 04, 2025 01:03PM",sidewalk obstruction,Med-Low,,-122.381493341044,Pine Ave,PHONE,360.62,D08
MR200008,"Jun 04, 2024 01:45AM",08/06/2024 23:42:00,sidewalk obstruction,4,37.707,-122.4746,Broadway,web,557.93,D02
MR200009,"Apr 10, 2025 09:50PM",2025-04-16T16:03:42Z,unsafe crossing,3,37.74766244001211,-122.462253007445,Cedar Rd,email ,USD 917.49,D06
MR200010,2024-12-22T09:42:38Z,"Dec 26, 2024 03:28AM",missing signage,2,37.750378,-122.43244,Maple Dr,app,185.48,D07
MR200011,2024-02-25T19:34:14Z,,pothole near crossing,3,37.76863798146945,-122.493468625416,Grant St,web,585.49,D06
MR200012,09/16/2024 07:26:16,2024-09-18T00:59:33Z,sidewalk obstruction,5,,-122.543811,Broadway,app,610.82,D05
MR200013,01/31/2025 12:39:00,2025-02-08T17:53:34Z,pothole near crossing,5,37.822459116100646,-122.401376101832,Maple Dr,phone,751.18,D11
MR200014,"Mar 25, 2024 08:56PM","Apr 01, 2024 08:10AM",bus stop damage,5,,-122.422916266551,Union Blvd,web,859.3,D03
MR200015,"Dec 29, 2024 07:45AM","Jan 07, 2025 04:58PM",pothole near crossing,medium low,37.796841,,Elm St,app,291,D10
MR200016,"Oct 13, 2024 10:18AM","Oct 21, 2024 06:19AM",unsafe crossing,2,-122.434216762875,37.767619732294364,Broadway,app,1140.88,D07
MR200017,09/07/2025,2025-09-11T01:36:48Z,blocked lane,4,37.703621739279015,-122.451511991248,Maple Dr,app,2023.75,D02
MR200018,2024-10-18T11:07:06Z,26-10-2024 01:09,bus stop damage,4,37.823157,-122.4256,Broadway,web,773.99,D11
MR200019,2025-01-21T12:32:31Z,,unsafe crossing,3,37.819,-122.485,Grant St,app,781.92,D10
MR200020,"Jan 18, 2024 01:15PM",2024-02-05T18:14:32Z,,3,37.756,-122.50161,Market St,app,784.67,D06
MR200021,"Mar 09, 2024 11:37AM",2024-03-17T13:24:38Z,sidewalk obstruction,2,37.82183798741169,-122.401512354888,Hillcrest Ave,web,664.46,D11
MR200022,01/19/2025,2025-01-22T13:16:37Z,unsafe crossing,2,,-122.537733021732,Harbor Ave,web,988.34,D01
MR200023,"Apr 11, 2025 06:38PM",2025-04-12T13:20:57Z,Blocked Lane,3,37.77774771226789,,Market St,,1630.73,D05
MR200024,08/19/2024,2024-08-28T01:05:44Z,BLOCKED LANE,2,37.73808963564044,-122.399929150182,Elm St,web,1122.39,D06
MR200025,2025-02-21T05:00:13Z,03/06/2025 14:24:41,pothole near crossing,3,37.709430929148354,-122.451894373908,Broadway,Web Form,410.55,D02
MR200026,2024-02-24T12:33:37Z,03/03/2024 16:21:00,pothole near crossing,5,37.766049340617634,-122.368614913988,Grant St,app,840.72,D08
MR200027,2025-07-05T21:56:23Z,,broken traffic light,4,37.720816235435215,-122.398249873551,Pine Ave,web,1374.27,D03
MR200028,04/03/2024 23:51:00,"Apr 10, 2024 01:49AM",sidewalk obstruction,4,37.73899577938243,-122.539610408007,Elm St,Web Form,241.7,D05
MR200029,2024-01-04T03:26:32Z,,missing sign,3,37.80246,-122.539,Grant St,app,289.85,D09
MR200030,06/17/2024 12:01:02,06/24/2024 09:39:34,missing sign,2,37.810622912819156,-122.450416644766,Harbor Ave,,287.72,D06
MR200031,"May 25, 2025 04:08PM",,blocked lane,5,37.80229416374634,-122.470288942197,Transit Way,phone,2180.86,D10
MR200032,10/15/2025 12:51:33,,missing sign,Low,37.70461071456463,-122.369982734623,Union Blvd,app,188.45,D03
MR200033,12/31/2025 02:27:21,2026-01-18T15:09:13Z,broken traffic light,4,37.74951035200186,-122.501611487982,Broadway,email,"~2,413",D06
MR200034,2024-09-14T16:27:07Z,2024-09-24T20:55:01Z,bus stop damage,5,37.76418445128875,-122.448727233466,Grant St,app,1233.05,D03
MR200035,2024-03-22T12:44:25Z,2024-04-14T08:15:27Z,bus stop damage,3,37.76798,-122.42757,Broadway,app,1110.9,D07
MR200036,2025-09-19T19:34:33Z,09/23/2025 08:44:40,blocked lane,2,37.738629422214025,-122.46195124009,Pine Ave,phone,1335.13,D06
MR200037,2024-06-20T18:39:14Z,2024-07-02T02:59:53Z,blocked lane,4,37.763966872523206,-122.500911694737,Maple Dr,web,1596.11,D05
MR200038,17-06-2024 17:04,2024-06-24T14:17:34Z,unsafe crossing,2,37.69834893078411,-122.367895015882,Elm St,phone,526 USD,D09
MR200039,09/30/2024 16:32:31,,unsafe crossing,4,37.71873,-122.357869,Grant St,phone,1194.41,D04
MR200040,2025-11-08T14:41:18Z,"Nov 17, 2025 09:46AM",pothole near crossing,3,37.76247032117968,-122.527387530091,Market St,email ,321.46,D05
MR200041,2024-03-09T04:04:29Z,2024-03-14T01:38:04Z,blocked lane,5,37.82606524013961,-122.440453418707,Transit Way,web,2360.28,D11
MR200042,2025-06-05T16:08:04Z,06/14/2025,broken traffic light,5,37.794434792961546,-122.516182047458,Market St,phone,2295.4,D09
MR200043,2024-05-10T03:46:17Z,,missing sign,4,37.828880557322314,,Hillcrest Ave,web,206.25,D09
MR200044,2024-10-13T04:50:34Z,"Oct 16, 2024 06:49PM",blocked lane,,37.80364888003205,-122.39767145305,Hillcrest Ave,email ,1458.06,D12
MR200045,01/19/2025,,bus stop damage,3,37.82161345140184,-122.411953012637,,email,852.06,D11
MR200046,2024-07-22T19:31:52Z,07/26/2024 17:49:00,sidewalk obstruction,4,37.793781673361515,-122.384564234045,Hillcrest Ave,app,352.67,D12
MR200047,2025-07-19T21:08:23Z,07/23/2025 13:02:00,bus stop damage,med,37.7435,-122.484142,Grant St,phone,596.16,D06
MR200048,2025-07-02T04:57:42Z,2025-07-12T05:39:32Z,blocked lane,5,37.740299984431374,-122.478898692517,River Rd,app,1025.52,D06
MR204654,02/26/2025 10:19:20,,unsafe crossing,3,37.785654411107345,-122.511617622553,Union Blvd,app,1322.97,D05
MR200050,2025-07-28T04:14:01Z,13-08-2025 17:37,bus stop damage,4,,-122.487948573515,Union Blvd,Web Form,665 USD,D06
MR200051,01/20/2025,2025-01-30T03:33:52Z,unsafe crossing,4,37.752668390679005,-122.399929150182,Hillcrest Ave,phone,1190.85,D05
MR200052,13-06-2025 02:14,,pothole near crossing,4,37.751928479950195,-122.532268179409,Pine Ave,web,~585,D05
MR200053,2025-09-15T19:21:58Z,2025-09-24T01:55:19Z,broken traffic light,2,37.69458104503183,-122.43369555019,Elm St,,"1,777 USD",D03
MR200054,2025-11-27T23:05:41Z,"Dec 06, 2025 03:56PM",unsafe crossing,3,37.76709046818746,-122.385809806019,Cedar Rd,web,1809.25,
MR200055,0000-00-00,"Feb 22, 2025 05:17AM",BLOCKED LANE,5,37.80261118751367,-122.524182858634,Union Blvd,email,1221.4,D09
MR200056,01/05/2025,2025-01-07T00:56:22Z,pot hole near crossing,3,37.693,-122.512,Elm St,email ,USD 948.41,
MR200057,2025-07-27T16:47:11Z,2025-07-30T08:36:38Z,missing sign,2,37.799,-122.5409,Union Blvd,email,171.33,D03
MR200058,2024-01-04T16:47:07Z,2024-01-15T20:15:27Z,pothole near crossing,4,37.705096706601445,-122.384882400999,Union Blvd,web,522.3,D04
MR200059,2025-04-26T19:15:49Z,2025-05-02T01:10:16Z,sidewalk obstruction,2,37.77509635121306,-122.512327880713,,app,463.29,D05
MR200060,21-03-2025 15:22,2025-03-28T18:18:05Z,bus stop damage,3,37.7664,-122.386,Cedar Rd,web,432.16,D10
MR200061,10/11/2024 08:36:00,2024-11-24T09:30:30Z,broken traffic light,4,37.80860195972586,-122.39904950594,Harbor Ave,app,1843.63,D08
MR200062,2025-06-30T01:36:08Z,2025-07-06T03:04:22Z,pothole near crossing,4,37.753483146810964,,Harbor Ave,web,433.62,D09
MR200063,13-07-2025 21:52,2025-07-23T10:28:54Z,broken traffic light,4,37.72061591393222,-122.519025394192,Maple Dr,app,1330.7,D01
MR200064,02/04/2025,02/11/2025 03:59:00,MISSING SIGN,3,,-122.527982,Maple Dr,web,300.22,D09
MR200065,"Oct 24, 2024 05:41AM",2024-10-31T15:38:13Z,unsafe crossing,2,37.79426,-122.390467,Broadway,web,1112.69,
MR200066,2024-04-24T05:53:00Z,"May 01, 2024 11:56AM",blocked lane,4,37.7268225166426,-122.414710224059,Cedar Rd,app,2396.39,D04
MR201758,11/19/2024 01:49:36,,BROKEN TRAFFIC LIGHT,Critical,37.75981599385718,-122.434292138855,Harbor Ave,web,2558.24,D07
MR200068,2024-10-23T11:12:15Z,,missing sign,3,37.82750140876327,-122.550111016999,Harbor Ave,app,260.58,D09
MR200069,28-11-2025 00:06,"Dec 04, 2025 06:19AM",broken traffic light,4,37.700363636630684,-122.425701315939,Cedar Rd,app,2898.59,D10
MR200070,07/06/2025 01:29:48,2025-07-14T08:29:16Z,unsafe crossing,2,,-122.433147281697,,phone,1037.96,D03
